Player,Pos,PPG,APG,RPG,PPG_norm,APG_norm,RPG_norm,Score,Label
Mark Acres,C,4.525,0.8375,5.3875,0.12524840312278213,0.057605820105820105,0.28874183006535953,0.21658020098663236,Reserva
Michael Adams,PG,15.455696202531646,6.265822784810126,2.848101265822785,0.4278013853078312,0.43098251959011447,0.15264333581533882,0.4156340499743482,Role Player
Mark Aguirre,SF,14.08974358974359,1.858974358974359,3.91025641025641,0.3899929027679205,0.12786596119929453,0.20956929780459194,0.27441925271703027,Role Player
Danny Ainge,PG,17.893333333333334,6.04,4.346666666666667,0.49527324343506035,0.4154497354497354,0.23295860566448803,0.4422457575538693,Role Player
Mark Alarie,PF,10.48780487804878,1.7317073170731707,4.560975609756097,0.2902941023732451,0.1191121435023874,0.24444444444444444,0.2416919795782161,Reserva
Steve Alford,PG,4.097560975609756,0.951219512195122,0.6097560975609756,0.11341723069466322,0.06542779713511421,0.032679738562091505,0.08538563930826013,Reserva
Randy Allen,SG,3.73015873015873,0.365079365079365,2.1904761904761907,0.10324782858494709,0.02511127907953304,0.11739807033924683,0.07482325713364144,Reserva
Greg Anderson,PF,8.816666666666666,0.4,6.216666666666667,0.24403832505322923,0.027513227513227514,0.3331808278867103,0.2561308118389695,Role Player
Nick Anderson,SG,11.493827160493828,1.530864197530864,3.9012345679012346,0.3181399994742791,0.1052975373963028,0.20908577422738645,0.2111921695937101,Reserva
Richard Anderson,PF,4.277777777777778,1.0185185185185186,2.351851851851852,0.11840548852614147,0.07005682931608857,0.12604696199467444,0.11497392637890003,Reserva
Ron Anderson,SF,11.871794871794872,1.8333333333333333,3.782051282051282,0.32860184528034064,0.12610229276895943,0.2026981732864086,0.2440356495801882,Reserva
Willie Anderson,SG,15.707317073170731,4.439024390243903,4.536585365853658,0.434766050996209,0.3053297199638663,0.24313725490196078,0.3446657593644223,Role Player
Michael Ansley,SF,8.694444444444445,0.5555555555555556,5.027777777777778,0.24065531109533947,0.03821281599059377,0.26946259985475673,0.21024936314018638,Reserva
B.J. Armstrong,PG,5.580246913580247,2.45679012345679,1.2592592592592593,0.1544567988854717,0.16898556404729242,0.06748971193415639,0.1573728271188163,Reserva
John Bagley,PG,4.25925925925926,5.481481481481482,1.648148148148148,0.11789291065373396,0.3770331177738585,0.08833212297264584,0.24598497482974183,Reserva
Thurl Bailey,SF,14.170731707317072,1.670731707317073,5.0,0.39223458948571027,0.11491805394244417,0.2679738562091504,0.2932800257302611,Role Player
Ken Bannister,PF,3.9615384615384617,0.3461538461538461,2.1538461538461537,0.10965223562810504,0.023809523809523805,0.11543489190548015,0.0996671569940054,Reserva
Charles Barkley*,SF,25.17721518987342,3.886075949367088,11.50632911392405,0.6968853033392926,0.26729622932154573,0.6166790766939687,0.5828953092098799,All-Star
Dana Barros,PG,9.65432098765432,2.5308641975308643,1.6296296296296295,0.2672239308151302,0.1740806061793716,0.08733962720890825,0.2116580533169398,Reserva
John Battle,SG,10.9,2.566666666666667,1.65,0.30170333569907737,0.1765432098765432,0.08843137254901962,0.20898489274005216,Reserva
Kenny Battle,SG,4.101694915254237,0.6440677966101694,2.101694915254237,0.1135316548579952,0.04430095955519684,0.11263985820316827,0.08566101740591046,Reserva
William Bedford,C,2.8095238095238093,0.0952380952380952,1.380952380952381,0.07776538578525802,0.006550768455530358,0.07401182695300343,0.0683917887529325,Reserva
Benoit Benjamin,C,13.507042253521126,2.23943661971831,9.253521126760564,0.3738641929647437,0.15403532304940756,0.49594034797017406,0.4251269989764683,Role Player
Winston Bennett,SF,6.1454545454545455,0.9818181818181818,3.418181818181818,0.1701012968578618,0.06753246753246753,0.1831966726084373,0.15417091250548437,Reserva
Larry Bird*,SF,24.266666666666666,7.493333333333333,9.493333333333334,0.6716820440028388,0.5154144620811287,0.5087930283224401,0.5834173721303573,All-Star
Uwe Blab,C,2.0851063829787235,0.5319148936170213,2.297872340425532,0.0577140872506531,0.036586738714398284,0.12315394242803507,0.0948652655034568,Reserva
Rolando Blackman,SG,19.4,3.6125,3.5,0.5369765791341377,0.24847883597883597,0.18758169934640523,0.3516985059144705,Role Player
Mookie Blaylock,PG,10.1,4.2,2.8,0.27955997161107166,0.28888888888888886,0.15006535947712418,0.2777496996432829,Role Player
Muggsy Bogues,PG,9.419753086419751,10.703703703703704,2.555555555555556,0.2607312777646347,0.7362335880854399,0.13696441539578796,0.492294089806595,All-Star
Manute Bol,C,1.9466666666666668,0.48,3.68,0.05388218594748048,0.03301587301587301,0.19722875816993465,0.13780349798779223,Reserva
Anthony Bowie,SG,4.303030303030303,1.4545454545454546,1.7878787878787878,0.11910445835215173,0.10004810004810004,0.09582095464448406,0.10682521428899752,Reserva
Sam Bowie,C,14.676470588235292,1.338235294117647,10.147058823529411,0.40623303970275115,0.09204793028322439,0.5438292964244521,0.45737228279381903,All-Star
Adrian Branch,SF,5.909090909090909,0.3636363636363636,1.818181818181818,0.16355893928640558,0.025012025012025006,0.0974450386215092,0.11270969119881574,Reserva
Randy Breuer,C,8.91358024691358,1.1975308641975309,5.148148148148148,0.2467208159188287,0.08236984780194656,0.2759138223190511,0.24780152294727392,Reserva
Frank Brickowski,C,6.628205128205129,1.3461538461538465,4.1923076923076925,0.18346344925479063,0.09259259259259262,0.2246857717445953,0.19910975708245363,Reserva
Scott Brooks,PG,4.430555555555555,2.875,0.8888888888888888,0.12263425597350365,0.19775132275132273,0.0476397966594045,0.15644306639670824,Reserva
Chucky Brown,SF,7.266666666666667,0.6666666666666666,3.08,0.20113555713271822,0.04585537918871252,0.1650718954248366,0.1574572399461585,Reserva
Mike Brown,C,6.243902439024391,0.573170731707317,4.548780487804878,0.1728262562966297,0.03942444186346625,0.24379084967320264,0.2020648308792571,Reserva
Raymond Brown,PF,1.0,0.25,0.9375,0.027679205110007096,0.017195767195767195,0.05024509803921569,0.0373896358874754,Reserva
Tony Brown,SF,3.5901639344262297,0.6721311475409836,1.180327868852459,0.09937288391953368,0.04623124295255442,0.06325940212150434,0.07610483709682757,Reserva
Stanley Brundy,SF,2.3125,0.1875,1.625,0.06400816181689141,0.012896825396825396,0.08709150326797387,0.06186506404075706,Reserva
Mark Bryant,PF,2.896551724137931,0.2241379310344827,2.5172413793103448,0.08017424928415848,0.01541689472723955,0.1349109758846067,0.09782900940084475,Reserva
Torgeir Bryn,C,1.3333333333333333,0.0,0.6666666666666666,0.03690560681334279,0.0,0.03572984749455338,0.032509590540734865,Reserva
Steve Bucknall,SG,1.2777777777777777,0.5555555555555556,0.3888888888888889,0.03536787319612018,0.03821281599059377,0.02084241103848947,0.033600757882383474,Reserva
Greg Butler,C,0.4615384615384615,0.0769230769230769,0.6923076923076923,0.012775017743080198,0.005291005291005289,0.037104072398190045,0.026624049290938614,Reserva
Michael Cage,C,9.731707317073171,0.8536585365853658,10.01219512195122,0.2693659228998252,0.05871725383920506,0.5366013071895426,0.4086422865675936,Role Player
Adrian Caldwell,PF,1.9019607843137247,0.1372549019607843,2.1372549019607843,0.05264476266020955,0.009440813362381988,0.11454568755606818,0.07711463271346473,Reserva
Tony Campbell,SG,23.20731707317073,2.597560975609756,5.5,0.6423600893212622,0.1786682152535811,0.29477124183006537,0.3873655701959504,Role Player
Rick Carlisle,SG,0.4,1.0,0.0,0.011071682044002839,0.06878306878306878,0.0,0.03194190033082865,Reserva
Antoine Carr,PF,12.324675324675324,1.5454545454545454,4.181818181818182,0.34113721622593157,0.1063011063011063,0.2241235888294712,0.2474049860389776,Reserva
Joe Barry,C,10.013157894736842,1.2763157894736843,5.828947368421052,0.2771562511673079,0.08778891673628515,0.31240110079119365,0.2793664274985371,Role Player
Bill Cartwright,C,11.422535211267606,2.0422535211267605,6.549295774647887,0.3161666949889543,0.14047246441612637,0.35100800883733774,0.31950206024070155,Role Player
Terry Catledge,PF,19.39189189189189,0.972972972972973,7.608108108108108,0.5367521531467592,0.06692406692406692,0.4077548136371666,0.40177927045855905,Role Player
Tom Chambers,PF,27.17283950617284,2.345679012345679,7.049382716049383,0.7521225981126619,0.1613430008491737,0.3778100540627774,0.47634938649819647,All-Star
Rex Chapman,SG,17.5,2.4444444444444446,3.314814814814815,0.4843860894251242,0.16813639035861258,0.17765674170902931,0.2965403402553006,Role Player
