Player,Pos,PPG,APG,RPG
Mark Acres,C,4.525,0.8375,5.3875
Michael Adams,PG,15.455696202531646,6.265822784810126,2.848101265822785
Mark Aguirre,SF,14.08974358974359,1.858974358974359,3.91025641025641
Danny Ainge,PG,17.893333333333334,6.04,4.346666666666667
Mark Alarie,PF,10.48780487804878,1.7317073170731707,4.560975609756097
Steve Alford,PG,4.097560975609756,0.951219512195122,0.6097560975609756
Randy Allen,SG,3.73015873015873,0.365079365079365,2.1904761904761907
Greg Anderson,PF,8.816666666666666,0.4,6.216666666666667
Nick Anderson,SG,11.493827160493828,1.530864197530864,3.9012345679012346
Richard Anderson,PF,4.277777777777778,1.0185185185185186,2.351851851851852
Ron Anderson,SF,11.871794871794872,1.8333333333333333,3.782051282051282
Willie Anderson,SG,15.707317073170731,4.439024390243903,4.536585365853658
Michael Ansley,SF,8.694444444444445,0.5555555555555556,5.027777777777778
B.J. Armstrong,PG,5.580246913580247,2.45679012345679,1.2592592592592593
John Bagley,PG,4.25925925925926,5.481481481481482,1.648148148148148
Thurl Bailey,SF,14.170731707317072,1.670731707317073,5.0
Ken Bannister,PF,3.9615384615384617,0.3461538461538461,2.1538461538461537
Charles Barkley*,SF,25.17721518987342,3.886075949367088,11.50632911392405
Dana Barros,PG,9.65432098765432,2.5308641975308643,1.6296296296296295
John Battle,SG,10.9,2.566666666666667,1.65
Kenny Battle,SG,4.101694915254237,0.6440677966101694,2.101694915254237
William Bedford,C,2.8095238095238093,0.0952380952380952,1.380952380952381
Benoit Benjamin,C,13.507042253521126,2.23943661971831,9.253521126760564
Winston Bennett,SF,6.1454545454545455,0.9818181818181818,3.418181818181818
Larry Bird*,SF,24.266666666666666,7.493333333333333,9.493333333333334
Uwe Blab,C,2.0851063829787235,0.5319148936170213,2.297872340425532
Rolando Blackman,SG,19.4,3.6125,3.5
Mookie Blaylock,PG,10.1,4.2,2.8
Muggsy Bogues,PG,9.419753086419751,10.703703703703704,2.555555555555556
Manute Bol,C,1.9466666666666668,0.48,3.68
Anthony Bowie,SG,4.303030303030303,1.4545454545454546,1.7878787878787878
Sam Bowie,C,14.676470588235292,1.338235294117647,10.147058823529411
Adrian Branch,SF,5.909090909090909,0.3636363636363636,1.818181818181818
Randy Breuer,C,8.91358024691358,1.1975308641975309,5.148148148148148
Frank Brickowski,C,6.628205128205129,1.3461538461538465,4.1923076923076925
Scott Brooks,PG,4.430555555555555,2.875,0.8888888888888888
Chucky Brown,SF,7.266666666666667,0.6666666666666666,3.08
